"index","Familie","Gattung","Art","D_2__Anaerolineae","D_2__Bacilli","D_2__Bacteroidia","D_2__Clostridia","D_2__Coriobacteriia","D_2__Deltaproteobacteria","D_2__Erysipelotrichia","D_2__Fibrobacteria","D_2__Gammaproteobacteria","D_2__Methanobacteria","D_2__Methanomicrobia","D_2__Negativicutes","D_2__Saccharimonadia","D_2__Spirochaetia","D_2__Synergistia","D_2__Verrucomicrobiae","D_2__Actinobacteria","D_2__Fusobacteriia","D_2__Campylobacteria","D_2__Mollicutes","D_2__Planctomycetacia","D_2__Thermoplasmata","D_2__Burkholderiales bacterium Beta_02","D_2__Elusimicrobia","D_2__Endomicrobia","D_2__Alphaproteobacteria","D_2__Chloroflexia","D_2__Oxyphotobacteria","D_2__Melainabacteria","D_2__Lentisphaeria","D_2__Metamonada","D_2__Leptospirae","D_2__Deferribacteres","D_2__Blastocatellia","D_2__Nucletmycea","D_2__Oligosphaeria"
"LAN0208GNUS1","Bovidae","Connochaetes","Gnu",0,87,6099,10761,48,37,326,0,0,3358,0,385,60,976,0,514,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0208GNUS2","Bovidae","Connochaetes","Gnu",0,0,2052,2587,0,0,18,0,0,846,0,76,0,189,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0208GNUS3","Bovidae","Connochaetes","Gnu",28,333,3526,5363,0,30,298,429,0,501,0,214,0,750,0,861,0,0,0,0,21,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0208ZEBR1","Equidae","Equus","Bergzebra",0,797,3790,8950,60,0,77,350,24,907,229,260,40,5537,260,103,0,0,0,0,42,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0208ZEBR2","Equidae","Equus","Bergzebra",0,669,4935,8692,21,43,66,500,187,1080,0,1345,88,5201,141,1296,14,0,146,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0305GEPA3","Felidae","Acinonyx","Gepard",0,0,459,1013,0,0,0,0,135,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0305GEPA4","Felidae","Acinonyx","Gepard",0,0,455,567,0,0,0,0,404,0,0,117,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0305TIGA2","Felidae","Panthera","Tiger",0,0,487,1658,0,0,0,0,77,0,0,321,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0305WALD1","Canidae","Speothos","Waldhund",0,0,1236,1484,0,0,0,0,123,0,0,0,0,0,0,0,0,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0308GNUS1","Bovidae","Connochaetes","Gnu",0,136,2882,4276,0,39,215,0,0,938,0,206,38,668,0,503,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0308GNUS2","Bovidae","Connochaetes","Gnu",32,116,5433,8348,0,28,319,481,0,1652,0,467,110,1024,0,632,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0308GNUS3","Bovidae","Connochaetes","Gnu",0,21,1401,1773,69,10,222,0,0,575,0,149,0,63,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0308ZEBR1","Equidae","Equus","Bergzebra",0,423,1057,4037,0,0,0,159,49,230,77,239,0,2274,213,50,0,0,23,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0308ZEBR2","Equidae","Equus","Bergzebra",0,27,2286,2922,0,21,0,127,61,276,0,472,17,1898,18,333,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0606GNUS1","Bovidae","Connochaetes","Gnu",0,32,19392,19846,0,295,62,979,40,407,0,300,131,2607,0,3921,0,0,0,0,54,58,0,71,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0606GNUS2","Bovidae","Connochaetes","Gnu",0,0,5838,4850,0,146,0,387,17,113,0,184,0,765,0,1434,0,0,0,0,19,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0606GNUS3","Bovidae","Connochaetes","Gnu",0,0,8194,6126,0,199,0,499,17,226,0,257,64,1060,0,2229,0,0,0,0,0,23,0,49,0,0,0,0,0,0,0,0,0,0,0,0
"LAN0606GNUS4","Bovidae","Connochaetes","Gnu",0,0,5667,4878,0,128,0,369,0,104,0,218,25,710,0,1516,0,0,0,0,11,23,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1312GNUS1","Bovidae","Connochaetes","Gnu",0,0,9412,12610,0,61,58,0,0,1157,0,629,0,245,0,611,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1312GNUS2","Bovidae","Connochaetes","Gnu",71,0,5025,5338,0,0,0,0,0,393,0,171,0,116,0,423,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1312ZEBR1","Equidae","Equus","Bergzebra",0,38,1203,1419,0,0,20,239,0,0,39,75,0,939,111,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1312ZEBR2","Equidae","Equus","Bergzebra",0,0,202,135,0,0,0,0,0,0,0,23,0,314,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1412GNUS1","Bovidae","Connochaetes","Gnu",0,0,12831,18875,0,223,141,0,0,1722,0,728,0,188,0,370,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1412GNUS2","Bovidae","Connochaetes","Gnu",50,0,7320,7363,0,59,197,0,0,1256,0,329,0,213,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1412ZEBR1","Equidae","Equus","Bergzebra",0,0,989,1632,0,0,0,160,0,131,94,54,0,843,104,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1412ZEBR2","Equidae","Equus","Bergzebra",0,0,1087,1049,0,20,0,228,0,44,0,302,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1511ZEBR1","Equidae","Equus","Bergzebra",0,0,881,825,0,0,16,57,0,0,147,51,0,370,89,112,0,0,22,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1511ZEBR2","Equidae","Equus","Bergzebra",0,65,344,446,0,0,0,0,0,0,0,141,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1512GEPA2","Felidae","Acinonyx","Gepard",0,678,1544,13705,0,0,452,0,1699,0,0,1528,0,0,0,27,283,4114,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1512GNUS1","Bovidae","Connochaetes","Gnu",0,0,2229,2247,0,47,14,0,0,279,0,213,0,102,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1512GNUS2","Bovidae","Connochaetes","Gnu",306,363,11437,16943,126,33,77,0,0,2979,0,379,0,204,0,1235,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1612GEPA1","Felidae","Acinonyx","Gepard",0,55,281,14925,260,0,171,0,1173,0,0,312,0,0,0,0,0,4318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1612GNUS1","Bovidae","Connochaetes","Gnu",46,0,1790,2079,0,12,97,0,0,445,0,189,0,119,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAN1612GNUS2","Bovidae","Connochaetes","Gnu",54,0,1540,3034,0,29,17,0,0,552,0,102,0,110,0,50,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
