"index","Familie","Gattung","Art","D_0__Archaea","D_0__Bacteria","D_0__Eukaryota"
"FRA1411WILD8","Canidae","Lycaon","Wildhund",0,14152,0
"FRA1411WILD9","Canidae","Lycaon","Wildhund",0,20404,0
"FRA1411ZEBR1","Equidae","Equus","Grevyzebra",0,3292,0
"FRA1411ZEBR2","Equidae","Equus","Grevyzebra",0,5257,0
"FRA1807KANI1","Leporidae","Oryctolagus","Kaninchen",0,53010,0
"FRA2506FENN1","Canidae","Vulpes","Fennek",0,8323,0
"FRA2506FENN2","Canidae","Vulpes","Fennek",51,5362,0
"FRA2506TIGA1","Felidae","Panthera","Tiger",115,14242,0
"FRA2506TIGA2","Felidae","Panthera","Tiger",0,11387,0
"FRA2506WALD1","Canidae","Speothos","Waldhund",0,11982,0
"FRA2506WALD2","Canidae","Speothos","Waldhund",0,67153,0
"FRA2506WILD1","Canidae","Lycaon","Wildhund",0,1848,0
"FRA2506WILD2","Canidae","Lycaon","Wildhund",0,2478,0
"FRA2506WILD3","Canidae","Lycaon","Wildhund",0,2001,0
"FRA2508KANI1","Leporidae","Oryctolagus","Kaninchen",0,20848,0
"FRA2508KANI2","Leporidae","Oryctolagus","Kaninchen",0,12284,0
"FRA2606TIGA3","Felidae","Panthera","Tiger",0,14940,0
"FRA2606TIGA4","Felidae","Panthera","Tiger",0,7252,0
"FRA2606WALD3","Canidae","Speothos","Waldhund",0,7608,0
"FRA2606WALD4","Canidae","Speothos","Waldhund",0,8518,0
"FRA2706TIGA5","Felidae","Panthera","Tiger",0,11564,0
"FRA2706TIGA6","Felidae","Panthera","Tiger",0,9863,0
"FRA2806TIGA7","Felidae","Panthera","Tiger",0,12334,0
"FRA2806TIGA8","Felidae","Panthera","Tiger",0,6104,0
"FRA2806WALD5","Canidae","Speothos","Waldhund",0,13494,0
"FRA2806WALD6","Canidae","Speothos","Waldhund",0,6456,0
"FRA2906TIGA9","Felidae","Panthera","Tiger",111,16169,0
"FRA2906WALD7","Canidae","Speothos","Waldhund",0,9852,0
"FRA2906WALD8","Canidae","Speothos","Waldhund",0,7408,0
"FRA3006LOEW1","Felidae","Panthera","Loewe",0,3721,0
"FRA3006LOEW2","Felidae","Panthera","Loewe",0,10292,0
"FRA3007KANI1","Leporidae","Oryctolagus","Kaninchen",0,22401,0
"FRA3007KANI2","Leporidae","Oryctolagus","Kaninchen",0,15179,0
"GEL0910BRAU1","Ursidae","Ursus","Braunbaer",0,18940,0
"GEL0910BRAU2","Ursidae","Ursus","Braunbaer",0,7718,0
"GEL0910BRAU3","Ursidae","Ursus","Braunbaer",0,25836,0
"GEL0910BRAU4","Ursidae","Ursus","Braunbaer",0,14372,0
"GEL0910EISB1","Ursidae","Ursus","Eisbaer",0,9919,0
"GEL0910EISB2","Ursidae","Ursus","Eisbaer",0,31770,0
"GEL0910EISB3","Ursidae","Ursus","Eisbaer",0,26777,0
"GEL0910ERDM1","Herpestidae","Suricata","Erdmaennchen",0,15129,0
"GEL0910ERDM2","Herpestidae","Suricata","Erdmaennchen",0,13564,0
"GEL0910ERDM3","Herpestidae","Suricata","Erdmaennchen",0,9337,0
"GEL0910FLUS1","Hippopotamidae","Hippopotamus","Flusspferd",26,12550,0
"GEL0910FLUS2","Hippopotamidae","Hippopotamus","Flusspferd",37,9730,0
"GEL0910FLUS3","Hippopotamidae","Hippopotamus","Flusspferd",145,8741,0
"GEL0910IMPA1","Bovidae","Aepyceros","Impala",345,7133,0
"GEL0910IMPA2","Bovidae","Aepyceros","Impala",109,4312,0
"GEL0910IMPA3","Bovidae","Aepyceros","Impala",325,10347,0
"GEL0910IMPA4","Bovidae","Aepyceros","Impala",0,2119,0
"GEL0910KAMT1","Ursidae","Ursus","Braunbaer",0,18146,0
"GEL0910KAMT2","Ursidae","Ursus","Braunbaer",0,9483,0
"GEL0910KAMT3","Ursidae","Ursus","Braunbaer",0,13269,0
"GEL0910KUOT1","Mustelidae","Aonyx","Kurzkrallenotter",0,21652,0
"GEL0910KUOT2","Mustelidae","Aonyx","Kurzkrallenotter",0,21595,0
"GEL0910KUOT3","Mustelidae","Aonyx","Kurzkrallenotter",0,19062,0
"GEL0910NASH1","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",261,22586,0
"GEL0910NASH2","Rhinocerotidae","Ceratotherium","Breitmaulnashorn",501,9438,0
"GEL0910ORAN2","Homininae","Pongo","Orang-Utan",923,18658,0
"GEL0910RENT1","Cervidae","Rangifer","Rentier",499,16317,0
"GEL0910RENT2","Cervidae","Rangifer","Rentier",404,10450,0
"GEL0910RENT3","Cervidae","Rangifer","Rentier",201,9607,0
"GEL1707GIRA1","Giraffidae","Giraffa","Giraffe",282,7913,0
"GEL1707GIRA2","Giraffidae","Giraffa","Giraffe",320,7730,0
"GEL1707GIRA3","Giraffidae","Giraffa","Giraffe",495,7996,0
"GEL1707GIRA4","Giraffidae","Giraffa","Giraffe",551,9665,0
"GEL1707GIRA5","Giraffidae","Giraffa","Giraffe",220,7999,0
"GEL1707GIRA6","Giraffidae","Giraffa","Giraffe",380,7606,0
