"index","Familie","Gattung","Art","D_0__Archaea","D_0__Bacteria","D_0__Eukaryota"
"NEU1507GNUS1","Bovidae","Connochaetes","Gnu",0,6430,0
"NEU1507TUSI1","Bovidae","Bos","Watussi",339,8717,0
"NEU1507TUSI2","Bovidae","Bos","Watussi",616,12588,0
"NEU1507TUSI3","Bovidae","Bos","Watussi",426,10981,0
"NEU1507VARI1","Lemuridae","Varecia","Vari",64,12713,0
"NEU1507VARI2","Lemuridae","Varecia","Vari",0,16991,0
"NEU1507VARI3","Lemuridae","Varecia","Vari",151,11612,0
"NEU1512TIGA1","Felidae","Panthera","Tiger",0,15941,0
"NEU1609TUSI1","Bovidae","Bos","Watussi",487,15490,0
"NEU1609TUSI2","Bovidae","Bos","Watussi",336,9319,0
"NEU1612TIGA2","Felidae","Panthera","Tiger",0,25756,0
