"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"OPE2709GIRA1","Giraffidae","Giraffa","Giraffe",0,3661,0,119,113,4005,0,152,1668,0,139,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709GIRA2","Giraffidae","Giraffa","Giraffe",0,3286,0,171,51,4280,0,47,1578,0,62,0,0,0,21,0,0,0,0,0,0,0,0
"OPE2709GNUS1","Bovidae","Connochaetes","Gnu",0,1976,0,143,0,1406,0,62,60,0,372,0,0,0,34,0,0,0,0,0,0,0,0
"OPE2709GNUS2","Bovidae","Connochaetes","Gnu",0,692,0,0,0,324,0,27,83,0,99,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709IMPA1","Bovidae","Aepyceros","Impala",0,1597,0,0,36,1028,0,0,300,0,140,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709IMPA2","Bovidae","Aepyceros","Impala",0,4316,0,77,88,3484,0,70,429,0,817,0,0,47,0,0,0,0,0,0,0,0,0
"OPE2709TRAM1","Camelidae","Camelus","Trampeltier",0,530,0,94,0,107,0,0,413,0,277,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709TRAM2","Camelidae","Camelus","Trampeltier",0,1238,0,142,0,725,0,53,537,0,356,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709ZEBR1","Equidae","Equus","Steppenzebra",0,1448,0,25,565,607,0,0,1474,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709ZEBR2","Equidae","Equus","Steppenzebra",0,1054,0,17,160,580,0,0,563,12,86,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2809BERG1","Macropodidae","Osphranter","Bergkaenguru",0,2954,129,244,369,3189,0,0,801,0,190,0,139,0,0,0,0,0,0,0,0,0,0
"OPE2809ELEN1","Bovidae","Tragelaphus","Elenantilope",0,2608,0,0,127,1778,0,80,1390,0,407,0,0,0,0,0,0,0,0,0,0,0,0
