"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"NEU0501TRAM1","Camelidae","Camelus","Trampeltier",0,2117,0,44,87,3441,0,48,608,0,818,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501TRAM2","Camelidae","Camelus","Trampeltier",0,2253,48,380,0,3620,0,331,1573,0,1468,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501TRAM3","Camelidae","Camelus","Trampeltier",0,2132,0,289,0,3127,0,175,976,0,1302,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501TRAM4","Camelidae","Camelus","Trampeltier",0,3155,0,60,71,3626,0,57,1034,0,969,0,0,0,0,0,0,0,0,0,23,0,0
"NEU0501TRAM5","Camelidae","Camelus","Trampeltier",0,2071,43,337,0,3269,0,228,755,0,1516,0,0,12,0,0,0,0,0,0,0,0,0
"NEU0501VARI1","Lemuridae","Varecia","Vari",0,4554,0,0,0,15972,0,620,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501VARI2","Lemuridae","Varecia","Vari",50,3138,0,0,0,26933,0,420,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501VARI3","Lemuridae","Varecia","Vari",0,10128,0,0,0,15126,0,716,0,0,2334,0,0,0,0,0,29,0,0,0,0,0,0
"NEU0501VARI4","Lemuridae","Varecia","Vari",0,306,0,0,0,16991,0,1141,0,0,1807,0,0,0,0,0,0,0,0,0,0,0,0
"NEU0501VARI5","Lemuridae","Varecia","Vari",0,5306,0,0,0,8000,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEU1507GNUS1","Bovidae","Connochaetes","Gnu",89,2681,0,0,0,2870,0,18,231,0,541,0,0,0,0,0,0,0,0,0,0,0,0
"NEU1507TUSI1","Bovidae","Bos","Watussi",0,4121,0,339,148,3567,0,130,645,0,106,0,0,0,0,0,0,0,0,0,0,0,0
"NEU1507TUSI2","Bovidae","Bos","Watussi",0,5024,0,616,74,5903,0,397,863,0,327,0,0,0,0,0,0,0,0,0,0,0,0
"NEU1507TUSI3","Bovidae","Bos","Watussi",0,6632,0,426,0,3457,0,170,283,0,439,0,0,0,0,0,0,0,0,0,0,0,0
"NEU1507VARI1","Lemuridae","Varecia","Vari",0,6260,0,64,0,1920,0,2295,0,0,2131,0,0,0,0,0,0,0,0,0,0,107,0
"NEU1507VARI2","Lemuridae","Varecia","Vari",0,7425,0,0,0,2484,0,3876,17,0,2854,0,0,0,0,0,0,25,0,0,0,310,0
"NEU1507VARI3","Lemuridae","Varecia","Vari",0,5906,0,151,0,2489,0,265,385,0,2479,0,0,0,72,0,16,0,0,0,0,0,0
"NEU1512TIGA1","Felidae","Panthera","Tiger",0,257,0,0,0,15508,0,120,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"NEU1609TUSI1","Bovidae","Bos","Watussi",0,8102,0,487,0,5285,0,159,1280,0,615,0,0,37,0,0,0,0,12,0,0,0,0
"NEU1609TUSI2","Bovidae","Bos","Watussi",0,4461,0,336,41,3146,0,173,674,0,790,0,0,23,0,0,11,0,0,0,0,0,0
"NEU1612TIGA2","Felidae","Panthera","Tiger",878,0,0,0,0,24388,0,118,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0
"NEU1712TIGA1","Felidae","Panthera","Tiger",26,29,0,0,0,16791,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
"NEU1712TIGA2","Felidae","Panthera","Tiger",862,2846,0,0,0,20162,0,1204,0,0,12,3521,0,0,0,0,0,0,0,0,0,0,0
"NEU1812TIGA21","Felidae","Panthera","Tiger",236,1269,0,0,0,20478,0,316,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0
"NEU1812TIGA22","Felidae","Panthera","Tiger",610,257,0,0,0,24627,0,142,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0
"NEU1912TIGA1","Felidae","Panthera","Tiger",92,814,0,0,0,15558,0,256,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0
"NEU2012TIGA1","Felidae","Panthera","Tiger",756,1182,0,0,0,23112,0,1355,0,0,104,289,0,0,0,0,0,0,0,0,0,0,0
"NEU2704GEPA1","Felidae","Acinonyx","Gepard",0,0,0,0,0,2246,0,484,0,0,0,4214,0,0,0,0,0,0,0,0,0,0,0
"NEU2704GEPA2","Felidae","Acinonyx","Gepard",0,1475,0,0,0,1637,0,233,0,0,0,3192,0,0,0,0,0,0,0,0,0,0,0
"NEU2704GEPA3","Felidae","Acinonyx","Gepard",0,850,0,0,0,3212,0,832,0,0,0,680,47,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW1","Felidae","Panthera","Loewe",0,1688,0,0,0,3261,0,1114,0,0,0,4270,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW2","Felidae","Panthera","Loewe",572,3701,0,0,0,6294,0,335,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW3","Felidae","Panthera","Loewe",96,3344,0,0,0,3174,0,479,0,0,0,2368,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW4","Felidae","Panthera","Loewe",154,3993,0,0,0,2759,0,1081,0,0,0,4730,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW5","Felidae","Panthera","Loewe",42,1024,0,0,0,2163,0,384,0,0,0,2510,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW6","Felidae","Panthera","Loewe",685,170,0,0,0,6876,0,336,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0
"NEU2704LOEW9","Felidae","Panthera","Loewe",0,1301,0,0,0,4414,0,673,0,0,0,1954,0,0,0,0,0,0,0,0,0,0,0
"NEU2704MAEH1","Canidae","Chrysocyon","Maehnenwolf",0,52,0,0,0,3419,0,3370,0,0,0,7977,0,0,0,0,0,0,0,0,0,0,0
